d28e4a1297c20f1f8f115cbb03ab8024164414d8|2026-08-22|zoomote[bot]|1|1|workflows;|.github/workflows/code-qa.yml |ci: upload test VSIX for pull requests (#1314)
c747c024b62eaf821a06098d2844885af3cfa88b|2026-08-22|Niklas Hambüchen|43|28|ClineProvider.ts;Task.ts;webviewMessageHandler.ts;i18n;|packages/types/src/global-settings.ts packages/types/src/vscode-extension-host.ts src/core/task/Task.ts src/core/webview/ClineProvider.ts src/core/webview/__tests__/ClineProvider.spec.ts src/core/webview/__tests__/webviewMessageHandler.spec.ts src/core/webview/webviewMessageHandler.ts webview-ui/src/components/settings/SettingsView.tsx webview-ui/src/context/ExtensionStateContext.tsx webview-ui/src/i18n/locales/ca/settings.json webview-ui/src/i18n/locales/de/settings.json webview-ui/src/i18n/locales/en/settings.json webview-ui/src/i18n/locales/es/settings.json webview-ui/src/i18n/locales/fr/settings.json webview-ui/src/i18n/locales/hi/settings.json webview-ui/src/i18n/locales/id/settings.json webview-ui/src/i18n/locales/it/settings.json webview-ui/src/i18n/locales/ja/settings.json webview-ui/src/i18n/locales/ko/settings.json webview-ui/src/i18n/locales/nl/settings.json webview-ui/src/i18n/locales/pl/settings.json webview-ui/src/i18n/locales/pt-BR/settings.json webview-ui/src/i18n/locales/ru/settings.json webview-ui/src/i18n/locales/tr/settings.json webview-ui/src/i18n/locales/vi/settings.json webview-ui/src/i18n/locales/zh-CN/settings.json webview-ui/src/i18n/locales/zh-TW/settings.json webview-ui/src/utils/test-utils.tsx |feat: Add Read+Write allowlists (#1274)
bd399fa77046727fff853f4a41936984753c9eda|2026-08-22|Rafael Oliveira|4|4|eslint-suppressions.json;|src/api/providers/openai-codex.ts src/api/providers/__tests__/openai-codex-native-tool-calls.spec.ts src/api/providers/__tests__/openai-codex.spec.ts src/eslint-suppressions.json |fix(openai-codex): complete prompts over the streaming transport (#1243)
7e85e2793b18328ee1091fcb149360da9e6c4d9b|2026-08-22|zoomote[bot]|2|0|||[Fix] NanoGPT Muse Spark fails during tool use (#1310)
c28a1ffe7d6ff857654520ce93cf0d877bb8946e|2026-08-22|eason liang|2|2|Task.ts;|src/core/task/Task.ts src/core/task/__tests__/Task.persistence.spec.ts |fix(task): mark interrupted tool calls as errors in persisted history (#1323)
cdc25dda22c73ed83bd41686282e9e62dd2c3ee9|2026-08-22|zoomote[bot]|3|3|eslint.config.mjs;|src/core/config/importExport.ts src/core/config/__tests__/importExport.spec.ts src/eslint.config.mjs |fix(config): await settings import persistence (#1340)
f7ec103c6fb05788b20cf9140e494520bf2e9ed3|2026-08-22|Naved  Merchant|41|41|ClineProvider.ts;package.json;i18n;CHANGELOG;|CHANGELOG.md locales/ca/README.md locales/de/README.md locales/es/README.md locales/fr/README.md locales/hi/README.md locales/id/README.md locales/it/README.md locales/ja/README.md locales/ko/README.md locales/nl/README.md locales/pl/README.md locales/pt-BR/README.md locales/ru/README.md locales/tr/README.md locales/vi/README.md locales/zh-CN/README.md locales/zh-TW/README.md README.md src/CHANGELOG.md src/core/webview/ClineProvider.ts src/package.json webview-ui/src/components/chat/Announcement.tsx webview-ui/src/i18n/locales/ca/chat.json webview-ui/src/i18n/locales/de/chat.json webview-ui/src/i18n/locales/en/chat.json webview-ui/src/i18n/locales/es/chat.json webview-ui/src/i18n/locales/fr/chat.json webview-ui/src/i18n/locales/hi/chat.json webview-ui/src/i18n/locales/id/chat.json webview-ui/src/i18n/locales/it/chat.json webview-ui/src/i18n/locales/ja/chat.json webview-ui/src/i18n/locales/ko/chat.json webview-ui/src/i18n/locales/nl/chat.json webview-ui/src/i18n/locales/pl/chat.json webview-ui/src/i18n/locales/pt-BR/chat.json webview-ui/src/i18n/locales/ru/chat.json webview-ui/src/i18n/locales/tr/chat.json webview-ui/src/i18n/locales/vi/chat.json webview-ui/src/i18n/locales/zh-CN/chat.json webview-ui/src/i18n/locales/zh-TW/chat.json |chore: prepare v3.80.0 release (#1347)
87077e1b1e1b0521e7b212162dd57090bc0aa50a|2026-08-23|zoomote[bot]|10|3|eslint.config.mjs;|src/eslint.config.mjs src/integrations/terminal/Terminal.ts src/integrations/terminal/__tests__/TerminalProcess.spec.ts |fix(integrations): propagate async failures (#1351)
78c712ac4b963f24aefbe4cd6e0c03673a90fa2c|2026-08-23|zoomote[bot]|7|6|eslint.config.mjs;|src/eslint.config.mjs src/services/code-index/manager.ts src/services/code-index/processors/scanner.ts src/services/code-index/processors/__tests__/scanner.spec.ts src/services/code-index/__tests__/manager.spec.ts src/services/mcp/McpHub.ts |[Fix] Background service failures can surface as unhandled rejections (#1352)
d7795ca3fb5355218093e40c3331a2ac8ddd744d|2026-08-28|zoomote[bot]|50|4||webview-ui/src/components/chat/ContextMenu.tsx webview-ui/src/components/marketplace/components/MarketplaceInstallModal.tsx webview-ui/src/components/marketplace/components/MarketplaceItemCard.tsx webview-ui/src/components/welcome/WelcomeViewProvider.tsx |[Improve] Keep rendered content legible across IDE themes (#1344)
